id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,indoor_area,outdoor_area
2658,902301120,190,RM,69.0,9142,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,NoMsn,0.0,TA,Fa,Stone,Fa,TA,No,Unf,0.0,Unf,0.0,1020.0,1020.0,GasA,Gd,N,FuseP,908,1020,0,1928,0,0,2,0,4,2,Fa,9,Typ,0,Nf,Detchd,1910,Unf,1,440.0,Po,Po,Y,0.0,60.0,112.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,4,2006,WD ,2948.0,9314.0
2718,905108090,90,RL,69.06,9662,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,4,1977,1977,Gable,CompShg,Plywood,Plywood,NoMsn,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,1967.0,1967.0,GasA,TA,Y,SBrkr,1967,0,0,1967,0,0,2,0,6,2,TA,10,Typ,0,Nf,Attchd,1977,Fin,2,580.0,TA,TA,Y,170.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,8,2006,WD ,3934.0,9832.0
2414,528218130,60,RL,58.0,17104,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,Gd,TA,PConc,Gd,Gd,Av,GLQ,554.0,Unf,0.0,100.0,654.0,GasA,Ex,Y,SBrkr,664,832,0,1496,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2006,RFn,2,426.0,TA,TA,Y,100.0,24.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,9,2006,New,2150.0,17228.0
1989,902207150,30,RM,60.0,8520,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1923,2006,Gable,CompShg,Wd Sdng,Wd Sdng,NoMsn,0.0,Gd,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,968.0,968.0,GasA,TA,Y,SBrkr,968,0,0,968,0,0,1,0,2,1,TA,5,Typ,0,Nf,Detchd,1935,Unf,2,480.0,Fa,TA,N,0.0,0.0,184.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,7,2007,WD ,1936.0,8704.0
625,535105100,20,RL,69.06,9500,Pave,No_Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1394,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963,RFn,2,514.0,TA,TA,Y,0.0,76.0,0.0,0.0,185.0,0.0,Np,NoFe,NoFea,0.0,7,2009,WD ,2788.0,9761.0
333,923228370,160,RM,21.0,1890,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,4,6,1972,1972,Gable,CompShg,CemntBd,CmentBd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,Rec,294.0,Unf,0.0,252.0,546.0,GasA,TA,Y,SBrkr,546,546,0,1092,0,0,1,1,3,1,TA,5,Typ,0,Nf,Attchd,1972,Unf,1,286.0,TA,TA,Y,0.0,0.0,64.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2010,WD ,1638.0,1954.0
1327,902427150,20,RM,52.0,8516,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1958,2006,Gable,CompShg,MetalSd,MetalSd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,869.0,869.0,GasA,TA,Y,SBrkr,1093,0,0,1093,0,0,1,0,2,1,TA,5,Typ,0,Nf,Detchd,1959,Unf,1,308.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,5,2008,WD ,1962.0,8516.0
858,907202130,20,RL,69.06,9286,Pave,No_Alley,IR1,Lvl,AllPub,CulDSac,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,1989,Gable,CompShg,HdBoard,Plywood,NoMsn,0.0,TA,TA,CBlock,Gd,Gd,Av,ALQ,196.0,Unf,0.0,1072.0,1268.0,GasA,TA,Y,SBrkr,1268,0,0,1268,0,0,1,1,3,1,Gd,5,Typ,0,Nf,Detchd,1978,Unf,1,252.0,TA,TA,Y,173.0,0.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,10,2009,WD ,2536.0,9459.0
95,533208090,160,FV,39.0,3515,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,840,0,1680,0,0,2,1,2,1,Gd,3,Typ,0,Nf,Attchd,2004,RFn,2,588.0,TA,TA,Y,0.0,111.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,1,2010,WD ,2520.0,3626.0
1568,914476010,20,RL,75.0,10125,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,ALQ,641.0,LwQ,279.0,276.0,1196.0,GasA,TA,Y,SBrkr,1279,0,0,1279,0,1,2,0,3,1,TA,6,Typ,2,Fa,Detchd,1980,Unf,2,473.0,TA,TA,Y,238.0,83.0,0.0,0.0,0.0,0.0,Np,MnPrv,NoFea,0.0,2,2008,WD ,2475.0,10446.0
2482,531452100,120,RL,50.0,7175,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1991,1991,Gable,CompShg,Plywood,Plywood,NoMsn,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,278.0,Unf,0.0,939.0,1217.0,GasA,Gd,Y,SBrkr,1217,0,0,1217,0,0,2,0,2,1,Gd,5,Typ,0,Nf,Attchd,1991,RFn,2,484.0,TA,TA,Y,0.0,64.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2006,WD ,2434.0,7239.0
1364,903455140,30,RM,60.0,7200,Pave,No_Alley,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,7,1925,1992,Gable,CompShg,VinylSd,VinylSd,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,Gd,Y,SBrkr,1040,0,0,1040,0,0,1,0,2,1,TA,5,Typ,0,Nf,Detchd,1993,Unf,2,320.0,TA,TA,Y,0.0,132.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,7,2008,WD ,2080.0,7332.0
2584,535303050,20,RL,75.0,11310,Pave,No_Alley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,NoMsn,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1367.0,1367.0,GasA,Ex,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1954,Unf,2,451.0,TA,TA,Y,0.0,30.0,0.0,0.0,0.0,0.0,Np,NoFe,NoFea,0.0,6,2006,WD ,2742.0,11340.0
